Day,Date,Leads,TimeMins,AvgMinsPerLead,Review,IncompleteLeads,Employee ID
Mon,12-06-2023,5,135,27,Attended,0,101
Tue,13-06-2023,9,210,23,Attended,3,101
Wed,14-06-2023,13,300,23,Attended,0,101
Thu,15-06-2023,9,360,40,Attended,0,101
Fri,16-06-2023,11,300,27,Attended,0,101
Mon,19-06-2023,10,360,36,Attended,0,101
Tue,20-06-2023,14,360,26,Attended,0,101
Wed,21-06-2023,9,280,31,Attended,0,101
Fri,23-06-2023,10,240,24,Attended,0,101
Mon,26-06-2023,14,260,19,Attended,0,101
Tue,27-06-2023,15,260,17,Attended,0,101
Wed,28-06-2023,15,240,16,Attended,0,101
Fri,30-06-2023,15,240,16,Attended,0,101
Mon,03-07-2023,10,200,20,Attended,0,101
Tue,04-07-2023,15,240,16,Attended,0,101
Wed,05-07-2023,10,240,24,Attended,0,101
Thu,06-07-2023,11,200,18,Attended,0,101
Fri,07-07-2023,6,120,20,Attended,0,101
Mon,10-07-2023,15,240,16,Attended,0,101
Tue,11-07-2023,15,260,17,Attended,0,101
Wed,12-07-2023,12,240,20,Attended,0,101
Thu,13-07-2023,9,150,17,Attended,0,101
Mon,17-07-2023,10,160,16,Attended,0,101
Tue,18-07-2023,10,160,16,Attended,0,101
Wed,19-07-2023,10,170,17,Attended,0,101
Thu,20-07-2023,10,190,19,Attended,0,101
Fri,21-07-2023,10,150,15,Attended,0,101
Mon,24-07-2023,10,160,16,Attended,0,101
Tue,25-07-2023,10,180,18,Attended,0,101
Wed,26-07-2023,11,180,16,Missed,0,101
Thu,27-07-2023,0,0,0,Attended,0,101
Fri,28-07-2023,20,360,18,Attended,0,101
Mon,31-07-2023,10,160,16,Attended,0,101
Tue,01-08-2023,15,210,14,Attended,0,101
Wed,02-08-2023,15,210,14,Attended,0,101
Thu,03-08-2023,10,120,12,Attended,0,101
Fri,04-08-2023,10,130,13,Attended,0,101
Mon,07-08-2023,15,240,16,Attended,0,101
Tue,08-08-2023,15,300,20,Attended,0,101
Wed,09-08-2023,15,240,16,Attended,0,101
Thu,10-08-2023,15,240,16,Attended,0,101
Fri,11-08-2023,15,240,16,Attended,0,101
Mon,12-06-2023,7,197,28,Attended,0,102
Tue,13-06-2023,8,153,19,Attended,0,102
Wed,14-06-2023,9,161,18,Attended,0,102
Thu,15-06-2023,9,184,20,Attended,0,102
Fri,16-06-2023,10,141,14,Attended,0,102
Mon,19-06-2023,10,145,15,Attended,0,102
